JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2455943.335,7.8,,,Vis.,HUR,,C(2)V(1)D,,217.02,0,,,Z,,,,Z UMA,BAA-VSS,STD,,,,
2455943.46528,7.6,,,Vis.,AJV,,72,80,AAVSO STANDARD,,,,Z,,,,Z UMA,AASABADELL,STD,,,,
2455943.4792,7.9,,,Vis.,FMR,,72,80,S B 97,,,,Z,,,,Z UMA,,STD,,,,
2455943.692,7.65,,,TG,BOA,,NA,,,,0,,Z,,,,Z UMA,AFOEV,STD,,,,
2455944.3729,7.7,,,Vis.,BBI,,75,78,4329DYB,,,,Z,,,,Z UMA,VVS,STD,,,,
2455944.4153,7.5,,,Vis.,BVE,,72,76,70924,,,,Z,,,,Z UMA,KNVWS,STD,,,,
2455944.4479,7.7,,,Vis.,VFK,,73,79,3722WFU,108/440,,,Z,,,,Z UMA,BAV,STD,,,,
2455944.5,8.5,,,Vis.,HCS,,0,,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2455944.66319,7.5,,,Vis.,CWP,,7.9,7.3,1102shx,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2455944.78194,7.7,,,Vis.,BBA,B,7.5,7.9,A080628,RY UMA CHART,,,Z,,,,Z UMA,AAVSO,STD,,,,
2455944.8,8,,,Vis.,MOW,,NA,,NA,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2455944.97917,7.8,,,Vis.,CKB,,75,79,110530,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2455946.95,8,,,Vis.,TYS,,79,,80515,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2455947.28,7.8,,,Vis.,CTI,,0,,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2455947.34097,8,,,Vis.,HGUA,,78,84,5749gd,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2455947.36,8.2,,,Vis.,HDH,,79,84,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2455947.375,7.7,,,Vis.,KKAA,,75,79,3539bze,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2455947.41,7.8,,,Vis.,PPS,,0,,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2455947.43,8.1,,,Vis.,KAF,,0,,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2455948.357,8,,,Vis.,BLQ,,,,217.02,NE,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2455948.3875,7.8,,,Vis.,BBI,,78,79,4329DYB,,,,Z,,,,Z UMA,VVS,STD,,,,
2455948.4222,8,,,Vis.,LCR,,76,"""80,83""",AAVSO STANDARD,,,,Z,,,,Z UMA,AASABADELL,STD,,,,
2455948.47014,7.9,,,Vis.,WJAA,,78,79,6043ECT,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2455948.50417,7.86,,,Vis.,LDS,,,,217.02,10 images per measurement; 200mmlens,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2455948.5208,7.8,,,Vis.,FMR,,72,80,S B 97,,,,Z,,,,Z UMA,,STD,,,,
2455948.583,8.2,,,Vis.,MTON,K,D,H,BAAVSS  217.02,"""\""D-3, H+6\""""",,,Z,,,,Z UMA,BAA-VSS,STD,,,,
2455948.75,7.7,,,Vis.,SHA,,7.4,7.8,6091ATY,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2455949.22222,7.8,,,Vis.,BXT,,75,79,1322bvr,,,,Z,,,,Z UMA,NAS,STD,,,,
2455949.3,7.9,,,Vis.,VED,,NA,,NA,,,,Z,,,,Z UMA,AFOEV,STD,,,,
2455949.4,7.8,,,Vis.,SHS,,75,79,4178nq,,,,Z,,,,Z UMa,AAVSO,STD,,,,
2455949.46528,7.7,,,Vis.,AJV,,72,80,AAVSO STANDARD,,,,Z,,,,Z UMA,AASABADELL,STD,,,,
2455950.274,8,,,Vis.,ASW,,,,217.02,B20x80,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2455950.31458,8,,,Vis.,WJAA,,79,82,6043ECT,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2455950.4146,8.4,,,Vis.,TOO,,,,217.02,B15x70,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2455950.4167,7.9,,,Vis.,MCDB,,,,217.02,G80x17,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2455950.465,7.7,,,Vis.,MEAJ,,,,217.02,r; R20X60,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2455951.21528,7.8,,,Vis.,OJMA,B,7.9,,5167uh,Light pollution,,,Z,,,,Z UMA,AAVSO,STD,,,,
2455951.38542,7.8,,,Vis.,KKAA,U,75,79,3539bze,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2455951.63542,8,,,Vis.,CWP,,7.9,8.4,1102shx,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2455952.2361,8.2,,,Vis.,MZS,,0,,999999,125121740,,,Z,,,,Z UMA,MCSE,STD,,,,
2455952.32,8,,,Vis.,JAT,,79,84,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2455952.35,8.4,,,Vis.,PPS,,0,,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2455952.35,8.2,,,Vis.,BFO,,0,,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2455952.36,8.4,,,Vis.,KAF,,0,,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2455952.387685,7.95,0.02,,CV,FGIA,,ENSEMBLE,000-BSS-503,6958ART, 	DSLR ,0,,Z,,8.1,,Z UMA,AAVSO,STD,,,,
2455952.39,8.2,,,Vis.,HDH,,79,84,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2455952.7,8.4,,,Vis.,FRF,,79,84,1071AMX,,,,Z,,,,Z UMA,MCSE,STD,,,,
2455952.7493,7.6,,,Vis.,VFK,,73,79,3722WFU,LEIPZIG 10X50,,,Z,,,,Z UMA,BAV,STD,,,,
2455952.76,8.4,,,Vis.,MTON,K,D,H,BAAVSS  217.02,"""\""D-4, H+2\""""",,,Z,,,,Z UMA,BAA-VSS,STD,,,,
2455953.212,8,,,Vis.,KIS,,NA,,S/B/1941,,,,Z,,,,Z UMA,BAV,STD,,,,
2455953.4361,7.7,,,Vis.,VFK,,73,79,3722WFU,LEIPZIG 130/650,,,Z,,,,Z UMA,BAV,STD,,,,
2455953.444,8.4,,,Vis.,ASW,,,,217.02,B20x80,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2455953.454,8,,,Vis.,HUR,,D-1,,217.02,0,,,Z,,,,Z UMA,BAA-VSS,STD,,,,
2455953.466,8,,,Vis.,FMR,,72,80,S B 97,,,,Z,,,,Z UMA,,STD,,,,
2455953.475,8.16,,,Vis.,LDS,,,,217.02,10 images per measurement; 200mmlens,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2455953.70139,8.1,,,Vis.,CKB,,79,84,110530,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2455953.756,8.2,,,Vis.,FNAA,,,,217.02,B12x40,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2455954.272,8.3,,,Vis.,DAT,,7.9,8.4,1285 AZS,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2455954.29,8.5,,,Vis.,PPS,,0,,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2455954.39444,8,,,Vis.,MVH,,7.9,8.2,4645akw,,,,Z,,,,Z UMA,,STD,,,,
2455954.6,8.3,,,Vis.,MOW,,NA,,NA,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2455954.68958,7.85,,,Vis.,MDP,,79,75,2294gb,,,,Z,,,,Z UMA,RASC,STD,,,,
2455955.26,8.5,,,Vis.,ASW,,,,217.02,B20x80,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2455955.307,8.2,,,Vis.,BLQ,,,,217.02,B10x50,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2455955.3639,8.2,,,Vis.,LCR,,80,83,AAVSO STANDARD,,,,Z,,,,Z UMA,AASABADELL,STD,,,,
2455955.63194,8,,,Vis.,TYS,,79,,80515,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2455955.7,7.9,,,Vis.,GZN,,73,84,5672EUJ,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2455955.74653,7.9,,,Vis.,CWP,,7.9,8.4,1102shx,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2455956.2743,8.4,,,Vis.,DAT,,7.9,8.4,1285AZS,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2455956.28125,8.2,,,Vis.,RZM,,79,84,1038gdt,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2455956.37639,8.7,,,Vis.,HGUA,,87,,5749GD,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2455956.4,8.2,,,Vis.,SYU,,79,84,4147AOH,,,,Z,,,,Z UMA,BAV,STD,,,,
2455956.5,8.5,,,Vis.,BRJ,,84,85,1005agc,,,,Z,,,,Z UMa,,STD,,,,
2455957.26944,8.2,,,Vis.,BXT,B,79,84,1322bvr,,,,Z,,,,Z UMA,NAS,STD,,,,
2455957.34,8.5,,,Vis.,KAF,,0,,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2455957.3576,8.2,,,Vis.,VFK,,79,84,3722WFU,108/440,,,Z,,,,Z UMA,BAV,STD,,,,
2455957.42014,8.2,,,Vis.,KKAA,,79,84,3539bze,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2455958.36042,8.2,,,Vis.,BBI,,79,84,4329dxy,,,,Z,,,,Z UMA,VVS,STD,,,,
2455958.424,8.5,,,Vis.,FSR,,,,217.02,B15X70,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2455958.427,8.6,,,Vis.,ASW,,,,217.02,B20x80,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2455958.49653,8.4,,,Vis.,AJV,,80,86,AAVSO STANDARD,,,,Z,,,,Z UMA,AASABADELL,STD,,,,
2455958.65,8.4,,,Vis.,MHH,,8.4,8.5,1090cen,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2455958.6951,8.3,,,Vis.,ADI,,79,84,80524,,,,Z,,,,Z UMA,BAV,STD,,,,
2455958.76597,8.6,,,Vis.,BBA,B,8.5,8.7,B080629,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2455959.26,8.5,,,Vis.,JAT,,84,89,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2455959.27,8.5,,,Vis.,TSN,,84,87,6051OGD,,,,Z,,,,Z UMA,MCSE,STD,,,,
2455959.30833,8.41,,,Vis.,LDS,,,,217.02,10 images per measurement; 200mmlens,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2455959.34028,8.6,,,Vis.,WJAA,V,85,87,6043ECT,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2455959.3924,8.6,,,Vis.,MTON,KB,H,,BAAVSS  217.02,H+1,,,Z,,,,Z UMA,BAA-VSS,STD,,,,
2455959.4174,8.6,,,Vis.,VFK,,85,87,3722WFU,108/440,,,Z,,,,Z UMA,BAV,STD,,,,
2455959.4979,8.6,,,Vis.,MCDB,,,,217.02,G80x17,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2455959.626,8.26,,,TG,BOA,,NA,,,,0,,Z,,,,Z UMA,AFOEV,STD,,,,
2455959.7556,8.6,,,Vis.,TOO,,,,217.02,B15x70,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2455960.23125,8.3,,,Vis.,KSQ,,79,84,1089aaa,,,,Z,,,,Z UMA,,STD,,,,
2455960.3819,8.7,,,Vis.,VFK,,85,87,3722WFU,LEIPZIG 130/650,,,Z,,,,Z UMA,BAV,STD,,,,
2455960.39583,8.3,,,Vis.,KKAA,,79,84,3539bze,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2455960.4285,8.3,,,Vis.,LCR,,"""80,83""",86,AAVSO STANDARD,,,,Z,,,,Z UMA,AASABADELL,STD,,,,
2455960.623,8.32,,,TG,BOA,,NA,,,,0,,Z,,,,Z UMA,AFOEV,STD,,,,
2455960.7271,8.4,,,Vis.,VNL,,84,,4936PZE,,,,Z,,,,Z UMA,VVS,STD,,,,
