Observer,Magnitude,JD
BNA,8.0,2422556.4
BNA,8.0,2422557.4
BNA,7.9,2422562.4
BNA,7.8,2422566.4
BNA,7.6,2422567.4
BNA,7.6,2422572.4
BNA,7.6,2422573.4
BNA,7.6,2422575.4
BNA,7.6,2422579.4
BNA,7.6,2422581.4
BNA,7.5,2422586.4
BNA,7.5,2422589.4
BNA,7.6,2422596.4
BNA,7.6,2422600.4
BNA,7.6,2422601.4
BNA,7.9,2422612.4
BNA,8.0,2422619.4
BNA,8.3,2422626.4
BNA,8.3,2422628.4
BNA,8.4,2422634.4
BNA,8.3,2422636.4
BNA,8.1,2422646.4
BNA,8.0,2422653.4
BNA,7.6,2422689.4
BNA,7.4,2422691.4
BNA,7.5,2422696.4
BNA,7.9,2422703.4
BNA,8.0,2422706.4
BNA,7.9,2422719.4
BNA,7.9,2422721.4
BNA,7.9,2422724.4
BNA,8.0,2422733.4
BNA,7.9,2422734.4
BNA,8.0,2422736.4
BNA,8.0,2422738.4
BNA,8.0,2422741.4
BNA,8.1,2422744.4
BNA,8.2,2422746.4
BNA,8.3,2422749.4
BNA,8.3,2422752.4
BNA,8.3,2422753.4
BNA,8.3,2422757.4
BNA,8.3,2422759.4
BNA,8.4,2422760.4
BNA,8.3,2422765.4
BNA,8.3,2422768.4
BNA,8.3,2422772.4
BNA,8.3,2422781.4
BNA,8.0,2422783.4
BNA,8.0,2422785.4
BNA,8.0,2422788.4
BNA,8.0,2422809.4
BNA,8.0,2422812.4
BNA,7.9,2422816.4
BNA,8.0,2422839.4
BNA,8.0,2422841.4
BNA,8.0,2422851.4
BNA,7.9,2422853.4
BNA,7.6,2422865.4
BNA,7.5,2422872.4
BNA,7.4,2422880.4
BNA,7.5,2422882.4
BNA,7.5,2422893.4
BNA,7.5,2422894.4
BNA,7.4,2422896.4
BNA,7.4,2422897.4
BNA,7.4,2422898.4
BNA,7.6,2422900.4
BNA,7.6,2422902.4
BNA,7.7,2422903.4
BNA,7.7,2422904.4
BNA,7.8,2422907.4
BNA,7.8,2422908.4
BNA,8.0,2422929.4
BNA,8.1,2422930.4
BNA,8.2,2422932.4
BNA,8.3,2422938.4
BNA,8.4,2422940.4
BNA,8.5,2422955.4
BNA,8.5,2422956.4
BNA,8.5,2422957.4
BNA,8.5,2422960.4
BNA,8.5,2422962.4
BNA,8.5,2422963.4
BNA,8.6,2422964.4
BNA,8.4,2422966.4
BNA,8.5,2422968.4
BNA,8.3,2422981.4
BNA,8.1,2422983.4
BNA,8.0,2422989.4
BNA,7.9,2423001.4
BNA,7.8,2423014.4
BNA,8.0,2423016.4
BNA,7.9,2423030.4
BNA,7.8,2423045.4
BNA,7.6,2423068.4
BNA,7.6,2423074.4
BNA,7.6,2423075.4
BNA,7.6,2423080.4
BNA,7.5,2423081.4
BNA,7.6,2423093.4
BNA,7.5,2423094.4
BNA,7.6,2423103.4
BNA,7.8,2423106.4
BNA,7.8,2423108.4
BNA,7.8,2423110.4
BNA,7.9,2423112.4
BNA,7.8,2423114.4
BNA,8.0,2423120.4
BNA,8.2,2423127.4
BNA,8.1,2423131.4
BNA,8.4,2423149.4
BNA,8.6,2423165.4
BNA,8.4,2423168.4
BNA,8.5,2423172.4
BNA,8.5,2423173.4
BNA,8.4,2423182.4
BNA,8.3,2423189.4
BNA,8.0,2423194.4
BNA,8.0,2423197.4
BNA,7.9,2423199.4
BNA,7.9,2423204.4
BNA,7.8,2423205.4
BNA,7.8,2423209.4
BNA,7.8,2423221.4
BNA,7.6,2423225.4
BNA,7.6,2423229.4
BNA,7.6,2423233.4
BNA,7.6,2423236.4
BNA,7.6,2423239.4
BNA,7.6,2423255.4
BNA,7.5,2423256.4
BNA,7.6,2423261.4
BNA,7.5,2423265.4
BNA,7.6,2423283.4
BNA,7.5,2423285.4
BNA,7.7,2423287.4
BNA,7.6,2423291.4
BNA,7.7,2423293.4
BNA,7.9,2423312.4
BNA,8.0,2423314.4
BNA,8.0,2423318.4
BNA,7.9,2423320.4
BNA,8.0,2423323.4
BNA,8.0,2423325.4
BNA,8.0,2423328.4
BNA,8.3,2423338.4
BNA,8.3,2423341.4
BNA,8.3,2423342.4
BNA,8.2,2423344.4
BNA,8.4,2423358.4
BNA,8.4,2423364.4
BNA,8.4,2423370.4
BNA,8.3,2423372.4
BNA,8.1,2423375.4
BNA,7.9,2423381.4
BNA,7.7,2423401.4
BNA,7.6,2423403.4
BNA,7.6,2423410.4
BNA,7.6,2423414.4
BNA,7.8,2423437.4
BNA,7.9,2423442.4
BNA,7.8,2423457.4
BNA,7.8,2423460.4
BNA,7.8,2423467.4
BNA,7.7,2423492.4
BNA,7.8,2423495.4
BNA,7.9,2423498.4
BNA,7.8,2423501.4
BNA,8.0,2423503.4
BNA,8.0,2423504.4
BNA,8.0,2423511.4
BNA,8.0,2423513.4
BNA,8.2,2423514.4
BNA,8.3,2423518.4
BNA,8.4,2423524.4
BNA,8.3,2423529.4
BNA,8.1,2423531.4
BNA,8.1,2423535.4
BNA,8.0,2423542.4
BNA,7.9,2423543.4
BNA,8.0,2423544.4
BNA,8.0,2423545.4
BNA,7.9,2423552.4
BNA,7.9,2423555.4
BNA,7.7,2423560.4
BNA,7.4,2423572.4
BNA,7.5,2423573.4
BNA,7.5,2423579.4
BNA,7.5,2423581.4
BNA,7.6,2423583.4
BNA,7.5,2423588.4
BNA,7.5,2423594.4
BNA,7.4,2423600.4
BNA,7.4,2423601.4
BNA,7.4,2423604.4
BNA,7.5,2423611.4
BNA,7.5,2423615.4
BNA,7.4,2423620.4
BNA,7.9,2423636.4
BNA,7.9,2423637.4
BNA,7.9,2423638.4
BNA,7.9,2423639.4
BNA,7.9,2423641.4
BNA,8.0,2423644.4
BNA,7.9,2423649.4
BNA,7.9,2423650.4
BNA,7.9,2423655.4
BNA,7.9,2423660.4
BNA,7.8,2423662.4
BNA,7.8,2423664.4
BNA,8.0,2423668.4
BNA,7.9,2423670.4
BNA,8.0,2423672.4
BNA,8.0,2423674.4
BNA,8.0,2423689.4
BNA,7.9,2423690.4
BNA,7.8,2423693.4
BNA,7.9,2423707.4
BNA,8.3,2423710.4
BNA,8.1,2423722.4
BNA,8.0,2423723.4
BNA,8.0,2423724.4
BNA,8.0,2423737.3
BNA,7.9,2423741.3
BNA,7.9,2423744.3
BNA,7.5,2423752.3
BNA,7.4,2423777.2
BNA,7.4,2423783.3
BNA,7.3,2423790.3
BNA,7.3,2423791.3
BNA,7.3,2423795.3
BNA,7.3,2423797.3
BNA,7.2,2423800.3
BNA,8.0,2423814.3
BNA,7.9,2423818.3
BNA,7.9,2423820.4
BNA,8.0,2423826.3
BNA,8.0,2423851.3
BNA,7.9,2423852.3
BNA,7.8,2423855.3
BNA,7.8,2423857.3
BNA,7.7,2423859.3
BNA,7.7,2423860.3
BNA,7.7,2423867.3
BNA,7.8,2423871.3
BNA,7.8,2423883.3
BNA,7.9,2423884.3
BNA,8.1,2423889.3
BNA,8.0,2423893.3
BNA,8.0,2423898.3
BNA,7.9,2423936.4
BNA,7.9,2423942.4
BNA,8.0,2423943.4
BNA,8.0,2423946.4
BNA,7.9,2423952.4
BNA,7.8,2423953.4
BNA,7.9,2423961.4
BNA,7.7,2423963.4
BNA,7.7,2423965.4
BNA,7.7,2423970.4
BNA,7.7,2423974.4
BNA,7.6,2423986.4
BNA,7.7,2423994.4
BNA,7.6,2423998.4
BNA,7.6,2424006.4
BNA,7.7,2424008.4
BNA,7.7,2424023.4
BNA,7.7,2424028.4
BNA,7.7,2424030.4
BNA,7.5,2424040.4
BNA,7.6,2424044.4
BNA,7.7,2424048.4
BNA,7.8,2424057.4
BNA,7.8,2424067.4
BNA,7.9,2424072.3
BNA,7.9,2424085.3
BNA,7.8,2424092.3
BNA,7.9,2424122.3
BNA,7.6,2424137.3
BNA,7.6,2424149.3
BNA,7.6,2424152.3
BNA,7.8,2424163.4
BNA,7.9,2424172.3
BNA,7.8,2424176.3
BNA,7.6,2424187.3
BNA,7.6,2424198.3
BNA,7.9,2424229.3
BNA,7.9,2424234.3
BNA,8.0,2424240.3
BNA,8.1,2424258.3
BNA,8.1,2424263.3
BNA,7.6,2424300.3
BNA,7.3,2424305.3
BNA,7.4,2424311.4
BNA,7.5,2424319.4
BNA,7.5,2424321.4
BNA,7.5,2424331.4
BNA,7.5,2424342.4
BNA,7.5,2424361.4
BNA,7.6,2424370.4
BNA,7.5,2424377.4
BNA,7.5,2424379.4
BNA,7.5,2424389.4
BNA,7.7,2424409.3
BNA,8.3,2424434.3
BNA,8.3,2424441.3
BNA,7.9,2424470.3
BNA,7.9,2424491.3
BNA,6.8,2424506.4
BNA,6.9,2424516.3
BNA,7.0,2424525.3
BNA,7.4,2424536.3
BNA,7.8,2424552.3
BNA,7.6,2424567.3
BNA,7.5,2424573.3
BNA,7.6,2424589.3
BNA,7.6,2424593.3
BNA,7.9,2424607.3
BNA,7.9,2424615.3
BNA,8.0,2424629.3
BNA,8.0,2424646.3
BNA,7.9,2424668.3
BNA,7.5,2424686.3
BNA,7.1,2424688.3
BNA,6.9,2424693.3
BNA,7.0,2424694.3
BNA,7.1,2424695.4
BNA,6.9,2424696.4
BNA,7.1,2424699.4
BNA,7.0,2424700.4
BNA,7.1,2424710.4
BNA,7.0,2424714.4
BNA,7.5,2424737.4
BNA,7.5,2424740.4
BNA,7.6,2424745.4
BNA,7.7,2424768.3
BNA,7.7,2424775.3
BNA,7.9,2424782.3
BNA,7.9,2424803.3
MIR,7.0,2424905.2
BNA,7.1,2424908.3
MIR,6.9,2424912.2
BNA,7.4,2424921.3
BNA,7.5,2424924.3
MIR,7.6,2424933.3
MIR,7.7,2424939.3
BNA,7.9,2424941.3
BNA,7.9,2424951.3
BNA,7.9,2424962.3
BNA,7.9,2424983.3
BNA,7.8,2425007.3
BNA,7.7,2425014.3
BNA,7.9,2425025.3
BNA,7.9,2425028.3
BNA,7.9,2425053.3
BNA,7.9,2425057.4
BNA,7.0,2425075.4
BNA,7.0,2425083.4
BNA,6.9,2425086.4
BNA,6.9,2425096.4
MIR,6.9,2425099.4
MIR,6.9,2425100.3
MIR,7.1,2425102.4
BNA,7.3,2425110.4
MIR,7.4,2425115.3
MIR,7.7,2425118.6
MIR,7.6,2425124.4
BNA,7.5,2425126.3
BNA,8.0,2425149.3
BNA,8.0,2425164.3
BNA,8.0,2425188.3
BNA,8.0,2425209.3
MIR,7.2,2425263.3
MIR,7.3,2425264.2
MIR,7.1,2425266.6
BNA,7.1,2425267.3
MIR,7.2,2425267.3
MIR,7.4,2425268.4
MIR,7.3,2425269.2
BNA,6.9,2425271.3
MIR,7.2,2425290.3
MIR,7.3,2425294.2
MIR,7.3,2425299.3
MIR,7.1,2425300.2
MIR,7.7,2425317.2
MIR,7.7,2425321.2
BNA,7.9,2425321.3
MIR,7.6,2425323.2
MIR,7.6,2425324.2
MIR,7.6,2425326.3
MIR,7.6,2425327.2
MIR,7.6,2425328.2
MIR,7.6,2425329.2
MIR,7.6,2425330.3
BNA,7.9,2425345.3
BNA,7.9,2425365.3
JCC,8.0,2425441.5
JCC,7.9,2425442.4
JCC,7.7,2425443.4
MZZ,7.6,2425449.4
JCC,7.1,2425463.4
JCC,7.0,2425465.3
JCC,6.9,2425466.4
JCC,6.9,2425467.3
JCC,7.0,2425468.4
JCC,7.0,2425469.3
JCC,6.9,2425470.4
JCC,6.9,2425476.4
MZZ,6.8,2425477.4
JCC,6.8,2425478.4
JCC,7.0,2425481.3
MZZ,6.8,2425481.5
JCC,6.9,2425482.3
MZZ,7.2,2425483.5
JCC,7.0,2425484.3
JCC,7.1,2425486.3
JCC,7.1,2425489.4
JCC,7.1,2425495.3
JCC,7.6,2425521.3
JCC,7.5,2425522.3
JCC,7.5,2425525.3
JCC,7.7,2425531.3
JCC,7.7,2425535.3
JCC,7.9,2425537.2
JCC,7.9,2425538.7
JCC,7.9,2425541.3
JCC,8.1,2425555.3
JCC,7.9,2425572.6
JCC,8.0,2425572.6
JCC,8.3,2425586.6
JCC,8.3,2425596.5
JCC,8.4,2425599.5
JCC,8.5,2425601.5
JCC,8.3,2425617.4
LTG,8.5,2425617.4
JCC,8.5,2425620.4
JCC,8.5,2425622.4
JCC,8.7,2425623.4
JCC,8.6,2425624.4
JCC,8.6,2425625.4
JCC,8.4,2425629.3
JCC,8.7,2425630.4
JCC,8.7,2425631.4
JCC,8.7,2425632.4
JCC,8.5,2425641.3
JCC,8.4,2425642.3
JCC,8.3,2425644.2
JCC,8.2,2425645.4
JCC,8.0,2425647.3
DAA,7.9,2425647.4
JCC,7.9,2425648.4
LTG,7.8,2425648.4
JCC,7.9,2425651.3
JCC,7.8,2425652.4
JCC,7.3,2425658.3
JCC,7.3,2425659.3
JCC,7.2,2425663.3
JCC,7.1,2425665.4
DAA,7.1,2425673.4
LTG,7.1,2425673.4
TSV,7.1,2425674.3
DAA,7.0,2425674.4
JCC,7.0,2425674.4
DAA,6.9,2425676.3
JCC,6.9,2425676.3
JCC,6.9,2425677.3
TSV,7.0,2425677.3
DAA,6.9,2425677.4
DAA,6.8,2425678.3
JCC,7.0,2425678.3
TSV,7.0,2425678.3
JCC,6.9,2425679.3
TSV,7.1,2425679.3
DAA,6.7,2425679.5
DAA,6.8,2425680.3
JCC,6.9,2425680.4
DAA,6.7,2425681.3
JCC,6.9,2425681.3
DAA,6.7,2425683.3
JCC,6.9,2425683.4
DAA,6.6,2425684.3
JCC,7.1,2425684.3
JCC,7.0,2425685.3
DAA,6.6,2425685.4
DAA,6.8,2425686.3
JCC,7.1,2425686.3
JCC,7.1,2425687.3
JCC,7.2,2425688.3
JCC,7.1,2425689.3
JCC,7.2,2425690.4
JCC,7.2,2425691.3
JCC,7.3,2425692.3
JCC,7.4,2425693.4
JCC,7.6,2425698.3
LTG,7.7,2425698.3
DAA,7.3,2425699.3
JCC,7.6,2425699.3
JCC,7.8,2425700.3
JCC,7.7,2425701.3
JCC,7.7,2425702.5
TSV,7.4,2425703.3
JCC,7.8,2425703.5
JCC,7.8,2425705.4
JCC,7.9,2425706.3
DAA,7.7,2425709.3
JCC,7.8,2425709.3
DAA,7.8,2425710.3
JCC,7.9,2425710.4
DAA,7.6,2425713.3
DAA,7.8,2425719.3
JCC,7.8,2425719.3
JCC,7.6,2425720.4
DAA,7.8,2425721.3
JCC,7.7,2425727.4
DAA,7.8,2425732.4
JCC,7.6,2425732.4
TSV,7.3,2425735.3
TSV,7.4,2425736.3
JCC,7.6,2425736.5
JCC,8.0,2425750.4
JCC,8.0,2425754.4
JCC,7.9,2425756.4
JCC,8.0,2425758.4
LTG,8.3,2425760.4
JCC,8.2,2425770.4
JCC,8.3,2425779.4
JCC,8.3,2425786.4
JCC,8.3,2425788.4
JCC,8.6,2425794.4
LTG,8.5,2425795.4
JCC,8.5,2425796.4
JCC,8.4,2425818.4
JCC,8.4,2425821.4
JCC,8.5,2425827.4
JCC,8.4,2425841.4
JCC,7.9,2425847.3
JCC,7.8,2425848.3
JCC,7.9,2425849.3
DAA,7.4,2425849.4
JCC,7.7,2425850.3
JCC,7.8,2425851.3
DAA,7.5,2425851.4
DAA,7.3,2425852.4
JCC,7.6,2425854.3
DAA,7.6,2425854.4
JCC,7.6,2425855.3
JCC,7.6,2425856.3
JCC,7.6,2425858.3
JCC,7.4,2425859.3
JCC,7.4,2425861.3
JCC,7.6,2425862.4
JCC,7.5,2425863.3
JCC,7.5,2425872.3
JCC,7.6,2425877.3
JCC,7.6,2425878.3
JCC,7.7,2425880.3
DAA,7.4,2425881.3
JCC,7.6,2425881.3
JCC,7.7,2425883.3
JCC,7.8,2425885.3
JCC,7.5,2425920.2
JCC,7.5,2425929.2
JCC,7.6,2425947.4
LTG,8.0,2425954.5
JCC,7.8,2425957.4
JCC,7.9,2425958.4
LTG,8.3,2425959.7
JCC,8.1,2426009.5
JCC,8.2,2426009.5
LTG,8.1,2426009.5
DAA,8.3,2426010.4
DAA,8.4,2426011.3
JCC,8.1,2426011.5
JCC,8.2,2426011.5
DAA,7.7,2426030.3
JCC,7.9,2426030.5
DAA,7.7,2426032.4
JCC,7.8,2426032.5
JCC,7.8,2426033.5
JCC,7.7,2426041.5
DAA,7.7,2426042.4
DAA,7.8,2426045.3
DAA,7.7,2426052.3
DAA,7.6,2426053.3
DAA,7.6,2426056.3
DAA,7.5,2426057.4
JCC,7.6,2426057.4
DAA,7.5,2426063.4
DAA,7.5,2426064.4
DAA,7.4,2426067.4
JCC,7.3,2426067.4
LTG,7.2,2426068.4
DAA,7.3,2426069.3
JCC,7.1,2426073.4
