# Bayo et al, M types from Collinder 69	
# spty = M7.0  (Spectral type)	
#	
wavelength	flux
#     (ANGSTROM)	#    (ERG/CM2/S/A)
6583.920997	9.845474E-18
6585.786626	9.537302E-18
6587.652255	6.187115E-18
6589.517884	6.288131E-18
6591.383513	6.913828E-18
6593.249142	7.962504E-18
6595.114771	6.965488E-18
6596.9804	8.336216E-18
6598.846029	6.922751E-18
6600.711658	6.619245E-18
6602.577287	6.768604E-18
6604.442916	6.84897E-18
6606.308545	7.444137E-18
6608.174174	9.184234E-18
6610.039803	6.503562E-18
6611.905432	5.140557E-18
6613.771061	7.182189E-18
6615.63669	8.866723E-18
6617.502319	6.546134E-18
6619.367948	6.970074E-18
6621.233577	6.240079E-18
6623.099206	7.304972E-18
6624.964835	5.699695E-18
6626.830464	5.531391E-18
6628.696092	6.416659E-18
6630.561721	6.472534E-18
6632.42735	6.162298E-18
6634.292979	4.679125E-18
6636.158608	4.982805E-18
6638.024237	4.80629E-18
6639.889866	6.366992E-18
6641.755495	6.350211E-18
6643.621124	6.014788E-18
6645.486753	5.614623E-18
6647.352382	5.113209E-18
6649.218011	6.449157E-18
6651.08364	5.476872E-18
6652.949269	5.424184E-18
6654.814898	7.695849E-18
6656.680527	6.817924E-18
6658.546156	5.591994E-18
6660.411785	6.752466E-18
6662.277414	7.789766E-18
6664.143043	5.971694E-18
6666.008672	6.251685E-18
6667.874301	5.212313E-18
6669.73993	6.534711E-18
6671.605559	7.563545E-18
6673.471188	9.542437E-18
6675.336817	8.610245E-18
6677.202446	4.579641E-18
6679.068075	4.806437E-18
6680.933704	4.287589E-18
6682.799333	4.459174E-18
6684.664962	4.77646E-18
6686.53059	4.659672E-18
6688.396219	5.458605E-18
6690.261848	5.095812E-18
6692.127477	6.882968E-18
6693.993106	6.369021E-18
6695.858735	5.693454E-18
6697.724364	7.840965E-18
6699.589993	5.430303E-18
6701.455622	5.893146E-18
6703.321251	6.034459E-18
6705.18688	6.329312E-18
6707.052509	1.843537E-18
6708.918138	1.97473E-18
6710.783767	7.052283E-18
6712.649396	6.100546E-18
6714.515025	3.883242E-18
6716.380654	4.340076E-18
6718.246283	4.505149E-18
6720.111912	6.342428E-18
6721.977541	6.436095E-18
6723.84317	4.115431E-18
6725.708799	5.006642E-18
6727.574428	5.953754E-18
6729.440057	6.345508E-18
6731.305686	5.852264E-18
6733.171315	7.502615E-18
6735.036944	6.945721E-18
6736.902573	7.650454E-18
6738.768202	7.349758E-18
6740.633831	6.322447E-18
6742.49946	5.426146E-18
6744.365088	5.447568E-18
6746.230717	4.767915E-18
6748.096346	4.660091E-18
6749.961975	5.470075E-18
6751.827604	6.81535E-18
6753.693233	8.239223E-18
6755.558862	5.754779E-18
6757.424491	5.978276E-18
6759.29012	7.292851E-18
6761.155749	5.65542E-18
6763.021378	4.369704E-18
6764.887007	5.586282E-18
6766.752636	7.660838E-18
6768.618265	7.663661E-18
6770.483894	7.77114E-18
6772.349523	8.160613E-18
6774.215152	7.881584E-18
6776.080781	5.911543E-18
6777.94641	4.795497E-18
6779.812039	4.854658E-18
6781.677668	5.537756E-18
6783.543297	7.379596E-18
6785.408926	5.772409E-18
6787.274555	6.445034E-18
6789.140184	6.177558E-18
6791.005813	5.402652E-18
6792.871442	5.400789E-18
6794.737071	5.376464E-18
6796.6027	7.097368E-18
6798.468329	7.889219E-18
6800.333958	7.459519E-18
6802.199586	7.034117E-18
6804.065215	8.785587E-18
6805.930844	8.923279E-18
6807.796473	7.366192E-18
6809.662102	7.541044E-18
6811.527731	6.678662E-18
6813.39336	7.461277E-18
6815.258989	7.331381E-18
6817.124618	5.069801E-18
6818.990247	8.295411E-18
6820.855876	7.054964E-18
6822.721505	7.960225E-18
